Country,Clicks,Impressions,CTR,Position
Australia,136,4754,2.86%,28.16
Singapore,2,23,8.7%,6.26
United Kingdom,1,139,0.72%,13.43
Germany,1,38,2.63%,7
Philippines,1,37,2.7%,10.86
Vietnam,1,12,8.33%,23.5
Nigeria,1,10,10%,9.3
Nepal,1,9,11.11%,4.11
Malta,1,5,20%,4
United States,0,903,0%,11.6
India,0,154,0%,16.37
Canada,0,63,0%,9.7
Indonesia,0,36,0%,13.61
Netherlands,0,34,0%,15
Brazil,0,32,0%,18.41
Pakistan,0,29,0%,10.83
New Zealand,0,27,0%,11.07
South Africa,0,25,0%,6.64
Malaysia,0,24,0%,7.42
South Korea,0,24,0%,14.67
United Arab Emirates,0,23,0%,6.87
Sweden,0,11,0%,5.36
Ireland,0,11,0%,5.45
Japan,0,11,0%,5.82
Sri Lanka,0,11,0%,7.45
Saudi Arabia,0,11,0%,13.91
Spain,0,10,0%,7.3
Switzerland,0,9,0%,6.78
Ghana,0,8,0%,4.38
France,0,8,0%,7.5
Taiwan,0,8,0%,8
Mexico,0,8,0%,9.62
Thailand,0,8,0%,12.88
Hong Kong,0,8,0%,13.62
Kuwait,0,7,0%,5
Italy,0,7,0%,6.29
Israel,0,7,0%,9.14
China,0,7,0%,11.14
Bangladesh,0,7,0%,26.86
Finland,0,6,0%,5
Norway,0,6,0%,10.83
Denmark,0,5,0%,3.8
Qatar,0,5,0%,5.4
Hungary,0,5,0%,10
Kenya,0,5,0%,13.2
Ecuador,0,5,0%,24.6
Colombia,0,5,0%,26.8
Argentina,0,5,0%,27.8
Belgium,0,4,0%,1
Uganda,0,4,0%,4
Jordan,0,4,0%,9
Morocco,0,4,0%,10.5
Uzbekistan,0,4,0%,14.75
Serbia,0,4,0%,15.5
Algeria,0,4,0%,15.75
Turkey,0,4,0%,16.25
Cambodia,0,3,0%,6.33
Poland,0,3,0%,6.33
Greece,0,3,0%,7.33
Mauritius,0,3,0%,7.33
Suriname,0,3,0%,7.33
Austria,0,3,0%,15
Syria,0,3,0%,15
Azerbaijan,0,3,0%,16.67
Belarus,0,3,0%,40.33
Somalia,0,2,0%,1
Zambia,0,2,0%,1
Romania,0,2,0%,4.5
Lebanon,0,2,0%,6
Gibraltar,0,2,0%,8
Cyprus,0,2,0%,11.5
Libya,0,2,0%,14.5
Kazakhstan,0,2,0%,24.5
Iraq,0,2,0%,30
Bermuda,0,1,0%,1
Fiji,0,1,0%,1
Jamaica,0,1,0%,1
Maldives,0,1,0%,1
Tunisia,0,1,0%,1
Peru,0,1,0%,4
Guyana,0,1,0%,6
Sudan,0,1,0%,6
Zimbabwe,0,1,0%,6
Côte d’Ivoire,0,1,0%,7
Macau,0,1,0%,7
Papua New Guinea,0,1,0%,7
Slovenia,0,1,0%,7
Ethiopia,0,1,0%,8
Malawi,0,1,0%,8
Portugal,0,1,0%,8
Swaziland,0,1,0%,8
Barbados,0,1,0%,9
Jersey,0,1,0%,10
Bahrain,0,1,0%,11
Aruba,0,1,0%,12
Slovakia,0,1,0%,12
Bosnia & Herzegovina,0,1,0%,13
Czechia,0,1,0%,13
Congo - Kinshasa,0,1,0%,14
Brunei,0,1,0%,19
Venezuela,0,1,0%,28
Dominican Republic,0,1,0%,32
Egypt,0,1,0%,33
Iran,0,1,0%,43
