"query","search interest","increase percent"
"moringa powder",100,"-30%"
"moringa benefits",55,"-10%"
"moringa australia",43,"10%"
"moringa tree",28,"20%"
"moringa chemist warehouse",26,"10%"
"moringa capsules",25,"-20%"
"moringa oil",25,"-9%"
"chemist warehouse",25,"7%"
"what is moringa",25,"30%"
"moringa plant",20,"30%"
"moringa rosabella",19,"-40%"
"rosabella moringa",19,"-40%"
"moringa leaves",18,"10%"
"moringa berberine",18,"2,050%"
"berberine",18,"1,850%"
"moringa powder benefits",17,"-20%"
"moringa reviews",17,"80%"
"moringa leaf",17,"4%"
"moringa tea",17,"-3%"
"moringa patches",15,"4,050%"
"buy moringa",15,"10%"
"moringa seeds",11,"40%"
"moringa patch",10,"2,700%"
"benefits of moringa",10,"-20%"
"moringa oleifera",9,"60%"
"moringa berberine patches",9,"Breakout"
"organic moringa",9,"-10%"
"moringa seed",9,"20%"
"moringa powder australia",8,"-5%"
"moringa supplement",7,"7%"
"moringa near me",7,"20%"
"moringa tablets",6,"-20%"
"moringa leaf powder",6,"4%"
"moringa and berberine",6,"Breakout"
"what is moringa good for",6,"20%"
"what is moringa powder",6,"-10%"
"moringa powder chemist warehouse",5,"-40%"
"moringa side effects",5,"7%"
"moringa oil benefits",5,"-8%"
"moringa seed oil",4,"10%"
"moringa for weight loss",4,"40%"
"moringa patches reviews",4,"Breakout"
"moringa drumstick",4,"-7%"
"drumstick moringa",4,"-9%"
"drumstick",4,"-4%"
"spirulina",4,"120%"
"moringa supplements",4,"8%"
"moringa drops",4,"-60%"
"glorenda moringa patch",4,"Breakout"
"organic moringa powder",4,"-30%"
