"query","search interest","increase percent"
"moringa powder",100,"110%"
"moringa benefits",58,"90%"
"moringa australia",36,"-20%"
"moringa tree",32,"-60%"
"moringa oil",22,"6%"
"moringa leaves",21,"-20%"
"moringa capsules",17,"130%"
"moringa chemist warehouse",15,"80%"
"moringa plant",15,"-40%"
"what is moringa",15,"30%"
"moringa tea",15,"-30%"
"moringa powder benefits",14,"140%"
"moringa leaf",14,"-20%"
"rosabella moringa",12,"Breakout"
"moringa rosabella",12,"Breakout"
"buy moringa",12,"-40%"
"benefits of moringa",9,"10%"
"moringa seeds",9,"-50%"
"moringa oleifera",8,"-70%"
"organic moringa",8,"6%"
"moringa reviews",8,"110%"
"moringa powder australia",7,"-10%"
"moringa powder coles",7,"180%"
"moringa seed",6,"-20%"
"moringa powder chemist warehouse",6,"110%"
"moringa near me",6,"70%"
"moringa tablets",6,"20%"
"where to buy moringa",5,"-30%"
"berberine",5,"3,400%"
"moringa leaf powder",5,"5%"
"moringa supplement",4,"170%"
"what is moringa powder",4,"130%"
"moringa side effects",4,"-20%"
"drumstick",4,"-40%"
"moringa body shop",4,"-40%"
"moringa drumstick",4,"-40%"
"body shop moringa",4,"-40%"
"body shop",4,"-40%"
"moringa patches",4,"Breakout"
"what is moringa good for",4,"100%"
"moringa oil benefits",4,"50%"
"moringa tea benefits",4,"5%"
"organic moringa powder",4,"10%"
"moringa powder woolworths",4,"140%"
"benefits of moringa powder",4,"130%"
"buy moringa powder",4,"-20%"
"maringa",3,"-7%"
"moringa tree australia",3,"-60%"
"moringa leaf benefits",3,"60%"
"moringa seed oil",3,"60%"
