Country,Clicks,Impressions,CTR,Position
Australia,20,1008,1.98%,31.07
Vietnam,1,3,33.33%,43
United States,0,169,0%,14.34
United Kingdom,0,34,0%,18.44
India,0,33,0%,12.55
Canada,0,19,0%,16.05
Brazil,0,13,0%,17.46
South Korea,0,9,0%,7.67
Netherlands,0,9,0%,16.78
Pakistan,0,8,0%,11.88
Indonesia,0,7,0%,10
Sweden,0,5,0%,6.4
New Zealand,0,5,0%,7.2
United Arab Emirates,0,5,0%,7.8
Israel,0,5,0%,8.8
Philippines,0,5,0%,9.4
Saudi Arabia,0,3,0%,4.67
Finland,0,3,0%,5
Hong Kong,0,3,0%,6.67
Spain,0,3,0%,7.33
Taiwan,0,3,0%,8
Ecuador,0,3,0%,8.67
Hungary,0,3,0%,8.67
Ireland,0,3,0%,10.33
Turkey,0,2,0%,4.5
Ghana,0,2,0%,6.5
Cambodia,0,2,0%,6.5
Malaysia,0,2,0%,7
South Africa,0,2,0%,7
Serbia,0,2,0%,7.5
France,0,2,0%,8
Sri Lanka,0,2,0%,8
Qatar,0,2,0%,8
Germany,0,2,0%,8.5
Kuwait,0,2,0%,8.5
Japan,0,2,0%,9
Cyprus,0,2,0%,11.5
China,0,2,0%,16
Denmark,0,1,0%,2
Peru,0,1,0%,4
Mexico,0,1,0%,5
Austria,0,1,0%,7
Macau,0,1,0%,7
Kenya,0,1,0%,8
Romania,0,1,0%,8
Barbados,0,1,0%,9
Switzerland,0,1,0%,10
Jersey,0,1,0%,10
Kazakhstan,0,1,0%,10
Singapore,0,1,0%,10
Aruba,0,1,0%,12
Czechia,0,1,0%,13
Poland,0,1,0%,13
