Time (UTC+11:00),Clicks,Impressions,CTR,Position
2025-11-16T07:00:00,0,0,0%,0
2025-11-16T08:00:00,0,2,0%,9
2025-11-16T09:00:00,0,3,0%,10.3
2025-11-16T10:00:00,0,8,0%,9.6
2025-11-16T11:00:00,0,2,0%,8
2025-11-16T12:00:00,0,7,0%,10
2025-11-16T13:00:00,0,3,0%,8.3
2025-11-16T14:00:00,0,5,0%,7.4
2025-11-16T15:00:00,0,3,0%,10
2025-11-16T16:00:00,0,4,0%,7.5
2025-11-16T17:00:00,0,9,0%,8.6
2025-11-16T18:00:00,0,4,0%,29
2025-11-16T19:00:00,0,6,0%,7.3
2025-11-16T20:00:00,0,3,0%,9
2025-11-16T21:00:00,0,7,0%,7.4
2025-11-16T22:00:00,1,10,10%,18.1
2025-11-16T23:00:00,0,7,0%,8.3
2025-11-17T00:00:00,1,2,50%,4
2025-11-17T01:00:00,0,2,0%,8.5
2025-11-17T02:00:00,0,1,0%,10
2025-11-17T03:00:00,1,1,100%,2
2025-11-17T04:00:00,0,2,0%,10.5
2025-11-17T05:00:00,0,0,0%,0
2025-11-17T06:00:00,0,0,0%,0
